nfs-server    | Starting rpcbind
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_get_fsid :FSAL :DEBUG :blkid_devno_to_devname of /sys/firmware failed for dev 0.284
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_create_file_system :FSAL :INFO :Added filesystem /sys/firmware namelen=255 dev=0.284 fsid=0x0000000000000000.0x000000000000011c 0.284 type=tmpfs
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /dev is a child of /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /sys/fs/cgroup is a child of /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /dev/shm is a child of /dev
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /proc/acpi is a child of /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /proc/scsi is a child of /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] posix_find_parent :FSAL :INFO :File system /sys/firmware is a child of /
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :/
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :  /dev
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :    /dev/shm
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :  /sys/fs/cgroup
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :  /proc/acpi
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :  /proc/scsi
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] show_tree :FSAL :INFO :  /sys/firmware
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] resolve_posix_filesystem :FSAL :DEBUG :Not trying to claim filesystems again because init is not complete Resource temporarily unavailable(11)
nfs-server    | 21/11/2021 23:16:04 : epoch 619ad334 : cf12f7318acb : nfs-ganesha-8[main] vfs_create_export :FSAL :CRIT :resolve_posix_filesystem(/exports) returned Resource temporarily unavailable (11)
